overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
328,Jaydon Blue,RB,67,21,PHI,10,56.6,4.16,0.8,228.6,50.3,-71.5,-92.4,-32.7,-59.7,0,
329,David Njoku,TE,44,16,LAC,7,58.0,4.06,0.84,221.4,48.7,-71.7,-92.9,-32.4,-60.5,0,
330,Noah Gray,TE,45,16,KC,5,59.1,4.14,0.84,270,45.0,-71.8,-91.8,-34.8,-57.0,0,
331,Emanuel Wilson,RB,68,21,SEA,11,56.5,4.15,0.8,250.3,55.1,-72.0,-92.5,-33.8,-58.7,0,
332,Chris Brooks,RB,69,21,GB,11,56.3,4.14,0.8,270,45.0,-72.4,-92.7,-34.8,-57.9,0,
333,LeQuint Allen,RB,70,21,JAX,7,56.2,4.35,0.76,270,45.0,-72.5,-92.8,-34.8,-58.0,0,
334,Justin Joly,TE,46,16,MIA,6,58.0,4.06,0.84,270,45.0,-72.6,-92.9,-34.8,-58.1,0,
335,Cade York,K,40,17,FA,0,9.0,0.55,0.97,350.0,77.0,-72.7,-91.0,-38.8,-52.2,0,
336,Isiah Pacheco,RB,71,22,DET,6,53.6,4.38,0.72,171.3,26.1,-73.3,-95.4,-32.3,-63.1,116,MCL sprain plus a back issue; Week 1 in question [injury]
337,Max Klare,TE,47,16,LAR,11,56.1,3.93,0.84,248.8,54.7,-73.4,-94.8,-33.7,-61.1,0,
338,Braelon Allen,RB,72,22,NYJ,13,52.2,3.84,0.8,177.8,35.5,-74.2,-96.8,-32.3,-64.5,30,
339,Sean Tucker,RB,73,22,TB,10,52.5,4.06,0.76,243.9,53.7,-74.4,-96.5,-33.5,-63.0,0,
340,Konata Mumpfield,WR,120,27,LAR,11,41.7,2.89,0.85,270,45.0,-74.8,-96.4,-34.8,-61.6,0,
